node,p0_core20_temp,p1_core10_temp,total_power,cpu_user,minimum_rows,total_rows
805,2517,2517,2517,566,566,8117
632,2517,2517,2517,566,566,8117
437,2517,2517,2517,566,566,8117
650,2517,2517,2517,566,566,8117
722,2517,2517,2517,566,566,8117
707,2517,2517,2517,566,566,8117
857,2517,2517,2517,566,566,8117
934,2517,2517,2517,566,566,8117
208,2516,2516,2516,566,566,8114
852,2516,2516,2516,566,566,8114
302,2515,2515,2515,566,566,8111
872,2514,2514,2514,566,566,8108
173,2513,2513,2513,566,566,8105
839,2517,2517,2517,565,565,8116
36,2517,2517,2517,565,565,8116
121,2517,2517,2517,565,565,8116
311,2517,2517,2517,565,565,8116
416,2517,2517,2517,565,565,8116
595,2517,2517,2517,565,565,8116
584,2517,2517,2517,565,565,8116
711,2517,2517,2517,565,565,8116
865,2517,2517,2517,565,565,8116
378,2517,2517,2517,565,565,8116
380,2517,2517,2517,565,565,8116
218,2515,2515,2515,565,565,8110
386,2517,2517,2517,564,564,8115
795,2517,2517,2517,564,564,8115
832,2517,2517,2517,564,564,8115
338,2517,2517,2517,564,564,8115
635,2517,2517,2517,564,564,8115
692,2517,2517,2517,564,564,8115
929,2517,2517,2517,564,564,8115
976,2517,2517,2517,564,564,8115
74,2517,2517,2517,564,564,8115
83,2517,2517,2517,564,564,8115
195,2517,2517,2517,564,564,8115
251,2517,2517,2517,564,564,8115
959,2517,2517,2517,564,564,8115
962,2517,2517,2517,564,564,8115
541,2517,2517,2517,564,564,8115
356,2515,2515,2515,564,564,8109
385,2517,2517,2517,563,563,8114
767,2517,2517,2517,563,563,8114
919,2517,2517,2517,563,563,8114
944,2517,2517,2517,563,563,8114
979,2517,2517,2517,563,563,8114
762,2517,2517,2517,563,563,8114
409,2517,2517,2517,563,563,8114
86,2517,2517,2517,563,563,8114
484,2517,2517,2517,563,563,8114
881,2517,2517,2517,563,563,8114
280,2515,2515,2515,563,563,8108
321,2515,2515,2515,563,563,8108
501,2514,2514,2514,563,563,8105
316,2517,2517,2517,562,562,8113
507,2517,2517,2517,562,562,8113
471,2517,2517,2517,562,562,8113
977,2517,2517,2517,562,562,8113
783,2517,2517,2517,562,562,8113
516,2517,2517,2517,562,562,8113
512,2517,2517,2517,562,562,8113
349,2517,2517,2517,562,562,8113
478,2517,2517,2517,562,562,8113
489,2517,2517,2517,562,562,8113
26,2517,2517,2517,562,562,8113
203,2514,2514,2514,562,562,8104
202,2514,2514,2514,562,562,8104
813,2517,2517,2517,561,561,8112
154,2517,2517,2517,561,561,8112
124,2517,2517,2517,561,561,8112
239,2517,2517,2517,561,561,8112
335,2517,2517,2517,561,561,8112
415,2517,2517,2517,561,561,8112
499,2517,2517,2517,561,561,8112
365,2517,2517,2517,561,561,8112
366,2517,2517,2517,561,561,8112
368,2517,2517,2517,561,561,8112
369,2517,2517,2517,561,561,8112
473,2517,2517,2517,561,561,8112
664,2517,2517,2517,561,561,8112
684,2517,2517,2517,561,561,8112
708,2517,2517,2517,561,561,8112
779,2517,2517,2517,561,561,8112
939,2517,2517,2517,561,561,8112
402,2517,2517,2517,561,561,8112
935,2517,2517,2517,561,561,8112
108,2517,2517,2517,561,561,8112
460,2517,2517,2517,561,561,8112
461,2517,2517,2517,561,561,8112
536,2517,2517,2517,561,561,8112
909,2517,2517,2517,561,561,8112
544,2517,2517,2517,561,561,8112
213,2516,2516,2516,561,561,8109
269,2516,2516,2516,561,561,8109
862,2516,2516,2516,561,561,8109
389,2517,2517,2517,560,560,8111
827,2517,2517,2517,560,560,8111
831,2517,2517,2517,560,560,8111
826,2517,2517,2517,560,560,8111
54,2517,2517,2517,560,560,8111
64,2517,2517,2517,560,560,8111
262,2517,2517,2517,560,560,8111
103,2517,2517,2517,560,560,8111
320,2517,2517,2517,560,560,8111
324,2517,2517,2517,560,560,8111
87,2517,2517,2517,560,560,8111
170,2517,2517,2517,560,560,8111
303,2517,2517,2517,560,560,8111
307,2517,2517,2517,560,560,8111
361,2517,2517,2517,560,560,8111
362,2517,2517,2517,560,560,8111
370,2517,2517,2517,560,560,8111
450,2517,2517,2517,560,560,8111
451,2517,2517,2517,560,560,8111
133,2517,2517,2517,560,560,8111
134,2517,2517,2517,560,560,8111
464,2517,2517,2517,560,560,8111
465,2517,2517,2517,560,560,8111
585,2517,2517,2517,560,560,8111
597,2517,2517,2517,560,560,8111
600,2517,2517,2517,560,560,8111
775,2517,2517,2517,560,560,8111
917,2517,2517,2517,560,560,8111
764,2517,2517,2517,560,560,8111
891,2517,2517,2517,560,560,8111
864,2517,2517,2517,560,560,8111
758,2517,2517,2517,560,560,8111
408,2517,2517,2517,560,560,8111
278,2517,2517,2517,560,560,8111
190,2517,2517,2517,560,560,8111
200,2517,2517,2517,560,560,8111
254,2517,2517,2517,560,560,8111
511,2517,2517,2517,560,560,8111
350,2517,2517,2517,560,560,8111
453,2517,2517,2517,560,560,8111
604,2517,2517,2517,560,560,8111
666,2517,2517,2517,560,560,8111
481,2517,2517,2517,560,560,8111
912,2517,2517,2517,560,560,8111
915,2517,2517,2517,560,560,8111
20,2517,2517,2517,560,560,8111
222,2516,2516,2516,560,560,8108
277,2516,2516,2516,560,560,8108
258,2515,2515,2515,560,560,8105
232,2515,2515,2515,560,560,8105
187,2515,2515,2515,560,560,8105
162,2515,2515,2515,560,560,8105
237,2518,2518,2517,559,559,8112
298,2517,2517,2517,559,559,8110
219,2517,2517,2517,559,559,8110
384,2517,2517,2517,559,559,8110
393,2517,2517,2517,559,559,8110
399,2517,2517,2517,559,559,8110
558,2517,2517,2517,559,559,8110
563,2517,2517,2517,559,559,8110
570,2517,2517,2517,559,559,8110
554,2517,2517,2517,559,559,8110
571,2517,2517,2517,559,559,8110
752,2517,2517,2517,559,559,8110
37,2517,2517,2517,559,559,8110
63,2517,2517,2517,559,559,8110
68,2517,2517,2517,559,559,8110
257,2517,2517,2517,559,559,8110
141,2517,2517,2517,559,559,8110
73,2517,2517,2517,559,559,8110
96,2517,2517,2517,559,559,8110
99,2517,2517,2517,559,559,8110
118,2517,2517,2517,559,559,8110
128,2517,2517,2517,559,559,8110
130,2517,2517,2517,559,559,8110
235,2517,2517,2517,559,559,8110
315,2517,2517,2517,559,559,8110
317,2517,2517,2517,559,559,8110
159,2517,2517,2517,559,559,8110
309,2517,2517,2517,559,559,8110
339,2517,2517,2517,559,559,8110
346,2517,2517,2517,559,559,8110
420,2517,2517,2517,559,559,8110
494,2517,2517,2517,559,559,8110
367,2517,2517,2517,559,559,8110
372,2517,2517,2517,559,559,8110
622,2517,2517,2517,559,559,8110
440,2517,2517,2517,559,559,8110
598,2517,2517,2517,559,559,8110
655,2517,2517,2517,559,559,8110
663,2517,2517,2517,559,559,8110
685,2517,2517,2517,559,559,8110
665,2517,2517,2517,559,559,8110
814,2517,2517,2517,559,559,8110
823,2517,2517,2517,559,559,8110
720,2517,2517,2517,559,559,8110
723,2517,2517,2517,559,559,8110
774,2517,2517,2517,559,559,8110
925,2517,2517,2517,559,559,8110
927,2517,2517,2517,559,559,8110
916,2517,2517,2517,559,559,8110
949,2517,2517,2517,559,559,8110
866,2517,2517,2517,559,559,8110
873,2517,2517,2517,559,559,8110
403,2517,2517,2517,559,559,8110
404,2517,2517,2517,559,559,8110
847,2517,2517,2517,559,559,8110
46,2517,2517,2517,559,559,8110
47,2517,2517,2517,559,559,8110
937,2517,2517,2517,559,559,8110
275,2517,2517,2517,559,559,8110
276,2517,2517,2517,559,559,8110
114,2517,2517,2517,559,559,8110
115,2517,2517,2517,559,559,8110
517,2517,2517,2517,559,559,8110
534,2517,2517,2517,559,559,8110
426,2517,2517,2517,559,559,8110
433,2517,2517,2517,559,559,8110
3,2517,2517,2517,559,559,8110
14,2517,2517,2517,559,559,8110
357,2517,2517,2517,559,559,8110
360,2517,2517,2517,559,559,8110
459,2517,2517,2517,559,559,8110
379,2517,2517,2517,559,559,8110
605,2517,2517,2517,559,559,8110
607,2517,2517,2517,559,559,8110
488,2517,2517,2517,559,559,8110
914,2517,2517,2517,559,559,8110
961,2517,2517,2517,559,559,8110
543,2517,2517,2517,559,559,8110
21,2517,2517,2517,559,559,8110
259,2516,2516,2516,559,559,8107
265,2516,2516,2516,559,559,8107
234,2516,2516,2516,559,559,8107
336,2516,2516,2516,559,559,8107
217,2515,2515,2515,559,559,8104
327,2515,2515,2515,559,559,8104
898,2514,2514,2514,559,559,8101
157,2513,2513,2513,559,559,8098
215,2517,2517,2517,558,558,8109
281,2517,2517,2517,558,558,8109
297,2517,2517,2517,558,558,8109
391,2517,2517,2517,558,558,8109
