timestamp,node,temperature_c,socket1_temperature_c,socket0_power_w,socket1_power_w,cpu_user_pct,cpu_idle_pct,load_1m,total_cpu_power_w
2021-03-01 20:18:00+00:00,582,51.666666666666664,51.666666666666664,150.0,134.0,65.833336,33.833332,87.10667,284.0
2021-03-01 20:19:00+00:00,582,52.666666666666664,52.666666666666664,155.33333333333334,140.66666666666666,69.299995,30.5,91.04667,296.0
2021-03-01 20:20:00+00:00,582,52.333333333333336,53.0,153.33333333333334,136.0,72.700005,27.133333,92.04667,289.33333333333337
2021-03-01 20:21:00+00:00,582,52.0,53.333333333333336,150.66666666666666,135.33333333333334,74.76667,25.066666,94.80666,286.0
2021-03-01 20:22:00+00:00,582,53.0,53.0,152.66666666666666,132.66666666666666,67.53333,32.266666,103.665,285.3333333333333
2021-03-01 20:23:00+00:00,582,53.333333333333336,53.333333333333336,158.66666666666666,135.33333333333334,68.35,31.45,97.71,294.0
2021-03-01 20:24:00+00:00,582,53.333333333333336,54.0,154.0,136.66666666666666,71.4,28.4,97.71,290.66666666666663
2021-03-01 20:25:00+00:00,582,54.0,54.333333333333336,154.0,144.66666666666666,68.799995,30.9,91.69333,298.66666666666663
2021-03-01 20:26:00+00:00,582,53.0,53.333333333333336,156.66666666666666,136.0,73.46667,26.333334,95.43,292.66666666666663
2021-03-01 20:27:00+00:00,582,53.0,53.666666666666664,160.0,141.33333333333334,73.0,26.85,99.86667,301.33333333333337
2021-03-01 20:28:00+00:00,582,53.0,54.0,156.66666666666666,134.0,69.73334,30.1,90.22666,290.66666666666663
2021-03-01 20:29:00+00:00,582,53.0,54.333333333333336,156.0,142.66666666666666,70.700005,29.1,89.21667,298.66666666666663
2021-03-01 20:30:00+00:00,582,52.666666666666664,54.0,152.66666666666666,133.33333333333334,73.166664,26.633333,94.86,286.0
2021-03-01 20:31:00+00:00,582,53.666666666666664,54.333333333333336,156.66666666666666,136.66666666666666,74.53333,25.266668,98.42333,293.3333333333333
2021-03-01 20:32:00+00:00,582,53.666666666666664,54.333333333333336,156.66666666666666,141.33333333333334,64.4,35.3,96.35999,298.0
2021-03-01 20:33:00+00:00,582,54.0,53.666666666666664,156.66666666666666,141.33333333333334,67.899994,31.8,95.456665,298.0
2021-03-01 20:34:00+00:00,582,53.666666666666664,54.0,151.33333333333334,134.0,73.96667,25.866667,92.97333,285.33333333333337
2021-03-01 20:35:00+00:00,582,54.333333333333336,55.0,158.0,138.0,70.433334,29.366667,89.24,296.0
2021-03-01 20:36:00+00:00,582,53.333333333333336,53.0,140.66666666666666,115.33333333333333,69.56667,30.266668,89.64,256.0
2021-03-01 20:37:00+00:00,582,54.0,54.0,154.0,138.66666666666666,73.299995,26.599998,87.94,292.66666666666663
2021-03-01 20:38:00+00:00,582,53.0,54.666666666666664,138.66666666666666,122.66666666666667,70.63333,29.166666,88.205,261.3333333333333
2021-03-01 20:39:00+00:00,582,54.0,54.333333333333336,155.33333333333334,143.33333333333334,67.55,32.25,93.98667,298.6666666666667
2021-03-01 20:40:00+00:00,582,54.0,55.0,156.66666666666666,143.33333333333334,73.833336,25.966667,94.64001,300.0
2021-03-01 20:41:00+00:00,582,53.666666666666664,53.666666666666664,156.66666666666666,142.66666666666666,68.4,31.300001,96.104996,299.3333333333333
2021-03-01 20:42:00+00:00,582,53.666666666666664,54.666666666666664,154.0,136.0,71.166664,28.633333,87.659996,290.0
2021-03-01 20:43:00+00:00,582,54.0,55.0,156.66666666666666,140.0,73.43333,26.366667,89.36,296.66666666666663
2021-03-01 20:44:00+00:00,582,54.0,54.333333333333336,152.66666666666666,130.66666666666666,68.36667,31.466667,79.7,283.3333333333333
2021-03-01 20:45:00+00:00,582,54.0,54.333333333333336,152.0,131.33333333333334,72.46667,27.333334,78.83501,283.33333333333337
2021-03-01 20:46:00+00:00,582,53.333333333333336,54.666666666666664,145.33333333333334,132.0,73.933334,25.9,94.63333,277.33333333333337
2021-03-01 20:47:00+00:00,582,53.333333333333336,54.333333333333336,140.0,131.33333333333334,71.066666,28.766668,99.033325,271.33333333333337
2021-03-01 20:48:00+00:00,582,54.0,54.333333333333336,141.33333333333334,128.66666666666666,66.799995,32.966667,92.92333,270.0
2021-03-01 20:49:00+00:00,582,52.333333333333336,54.333333333333336,156.66666666666666,137.33333333333334,71.15,28.7,99.61001,294.0
2021-03-01 20:50:00+00:00,582,53.666666666666664,54.333333333333336,162.66666666666666,145.33333333333334,67.45,32.4,90.225006,308.0
2021-03-01 20:51:00+00:00,582,53.666666666666664,54.333333333333336,153.33333333333334,140.66666666666666,74.13333,25.699999,97.77,294.0
2021-03-01 20:52:00+00:00,582,54.333333333333336,54.333333333333336,161.33333333333334,140.0,68.85,30.900002,107.41,301.33333333333337
2021-03-01 20:53:00+00:00,582,53.666666666666664,54.333333333333336,154.66666666666666,136.0,73.1,26.7,104.825,290.66666666666663
2021-03-01 20:54:00+00:00,582,54.333333333333336,54.0,152.66666666666666,131.33333333333334,73.46667,26.366667,97.89667,284.0
2021-03-01 20:55:00+00:00,582,54.0,54.0,154.0,137.33333333333334,67.96667,31.833334,94.829994,291.33333333333337
2021-03-01 20:56:00+00:00,582,54.0,54.666666666666664,163.33333333333334,131.33333333333334,68.03333,31.699999,85.670006,294.6666666666667
2021-03-01 20:57:00+00:00,582,53.666666666666664,55.0,137.33333333333334,125.33333333333333,69.833336,30.0,84.17667,262.6666666666667
2021-03-01 20:58:00+00:00,582,54.333333333333336,55.333333333333336,155.33333333333334,136.66666666666666,74.26667,25.566666,92.02334,292.0
2021-03-01 20:59:00+00:00,582,54.333333333333336,54.0,156.0,146.66666666666666,70.299995,29.533333,101.62333,302.66666666666663
2021-03-01 21:00:00+00:00,582,54.666666666666664,55.333333333333336,152.66666666666666,136.66666666666666,71.53333,28.300001,102.96,289.3333333333333
2021-03-01 21:01:00+00:00,582,55.0,55.0,154.0,136.66666666666666,72.833336,27.033333,99.329994,290.66666666666663
2021-03-01 21:02:00+00:00,582,53.666666666666664,55.333333333333336,156.0,140.0,66.0,33.7,90.21,296.0
2021-03-01 21:03:00+00:00,582,54.666666666666664,55.333333333333336,156.66666666666666,140.0,74.53333,25.300001,97.775,296.66666666666663
2021-03-01 21:04:00+00:00,582,55.0,55.333333333333336,154.0,138.0,72.066666,27.766668,93.25666,292.0
2021-03-01 21:05:00+00:00,582,55.666666666666664,55.0,156.0,142.0,71.36667,28.5,98.15,298.0
2021-03-01 21:06:00+00:00,582,55.333333333333336,55.666666666666664,156.66666666666666,138.66666666666666,68.9,30.866667,95.42667,295.3333333333333
2021-03-01 21:07:00+00:00,582,55.0,55.333333333333336,153.33333333333334,132.0,72.96667,26.866667,88.03,285.33333333333337
2021-03-01 21:08:00+00:00,582,55.0,56.0,157.33333333333334,140.0,70.26666,29.533333,87.11001,297.33333333333337
2021-03-01 21:09:00+00:00,582,55.333333333333336,55.666666666666664,152.0,135.33333333333334,70.333336,29.5,77.46,287.33333333333337
2021-03-01 21:10:00+00:00,582,55.0,56.666666666666664,158.0,143.33333333333334,64.333336,35.366665,80.02334,301.33333333333337
2021-03-01 21:11:00+00:00,582,54.666666666666664,55.666666666666664,156.0,146.0,71.166664,28.633333,75.90333,302.0
2021-03-01 21:12:00+00:00,582,55.333333333333336,55.0,149.33333333333334,132.0,70.299995,29.5,84.22,281.33333333333337
2021-03-01 21:13:00+00:00,582,54.666666666666664,55.666666666666664,154.66666666666666,138.66666666666666,72.23333,27.566666,89.52,293.3333333333333
