feature,importance,absolute_importance
cpu_temp_max_roll_mean_5,0.9499817892490954,0.9499817892490954
cpu_temp_max_lag_10,0.8561986175453487,0.8561986175453487
node_236,0.824061491732788,0.824061491732788
cpu_temp_max_lag_1,0.7991258762815197,0.7991258762815197
cpu_temp_max,0.7961643021178645,0.7961643021178645
cpu_temp_max_roll_mean_3,0.7523275482949918,0.7523275482949918
cpu_temp_max_lag_5,0.7248432920086308,0.7248432920086308
cpu_temp_max_roll_mean_10,0.6814361995913332,0.6814361995913332
cpu_temp_max_lag_2,0.6508349627754295,0.6508349627754295
p0_vdd_temp,0.6181636604837036,0.6181636604837036
p1_vdd_temp,0.5684818962562319,0.5684818962562319
cpu_temp_mean_lag_2,-0.47603356931375346,0.47603356931375346
p0_vdd_temp_lag_1,0.4552894957180524,0.4552894957180524
cpu_temp_mean,0.41438590736479025,0.41438590736479025
cpu_temp_mean_lag_1,0.41291832873361806,0.41291832873361806
cpu_temp_mean_lag_5,0.3997682120947085,0.3997682120947085
p1_vdd_temp_lag_1,0.3900025631871226,0.3900025631871226
cpu_busy_roll_mean_3,0.37763845136708024,0.37763845136708024
p1_vdd_temp_lag_2,-0.32361877576812215,0.32361877576812215
cpu_busy_delta_1,0.3084087446144648,0.3084087446144648
cpu_temp_max_delta_5,0.30581479636053766,0.30581479636053766
cpu_temp_sensor_count,0.2953400369981061,0.2953400369981061
p1_vdd_temp_lag_10,-0.2929079659917288,0.2929079659917288
node_119,-0.2707385076845602,0.2707385076845602
cpu_busy_roll_mean_5,0.2586622908868831,0.2586622908868831
ambient,0.25529246206151035,0.25529246206151035
node_435,-0.2531940562985748,0.2531940562985748
cpu_socket_power_roll_std_10,0.2516859304478272,0.2516859304478272
node_841,-0.2509131942912726,0.2509131942912726
cpu_temp_max_roll_std_10,-0.23562133510055552,0.23562133510055552
p0_vdd_temp_lag_5,0.22225148495909278,0.22225148495909278
cpu_busy_roll_std_3,0.21971530468534953,0.21971530468534953
p1_power_lag_5,0.21316519908961767,0.21316519908961767
total_power_roll_mean_5,-0.2020202226200184,0.2020202226200184
total_power_roll_mean_10,-0.20176756392619535,0.20176756392619535
node_35,0.1867866250753185,0.1867866250753185
p0_vdd_temp_lag_10,-0.18384238782987575,0.18384238782987575
cpu_socket_power_roll_mean_10,0.17931484725999403,0.17931484725999403
p0_vdd_temp_lag_2,-0.17706361611791346,0.17706361611791346
cpu_socket_power_roll_mean_5,0.16688140991975609,0.16688140991975609
p1_vdd_temp_lag_5,0.16128248594031638,0.16128248594031638
p1_power,0.1586652568985367,0.1586652568985367
cpu_temp_mean_roll_std_10,0.15691516488715,0.15691516488715
total_power_lag_10,-0.15136977826542014,0.15136977826542014
load_five,-0.148485801692804,0.148485801692804
load_five_lag_1,-0.14839745705053348,0.14839745705053348
minute_cos,0.14451700997281997,0.14451700997281997
node_436,-0.13736256666422844,0.13736256666422844
load_fifteen,-0.13682509761720457,0.13682509761720457
cpu_busy_roll_std_10,-0.13586682239781764,0.13586682239781764
load_fifteen_lag_1,-0.13148619174544082,0.13148619174544082
load_one_roll_mean_3,0.12703781469082193,0.12703781469082193
cpu_temp_mean_lag_10,-0.12614785997915692,0.12614785997915692
load_five_lag_5,-0.12165806711328246,0.12165806711328246
cpu_temp_mean_roll_mean_3,0.11727314265478297,0.11727314265478297
p1_power_lag_1,0.11587321791979811,0.11587321791979811
node_151,-0.10861200430494375,0.10861200430494375
p0_power_lag_10,-0.10445810323449742,0.10445810323449742
load_one_lag_2,-0.10047292086660961,0.10047292086660961
load_one_lag_1,0.09804941100757292,0.09804941100757292
cpu_temp_max_roll_std_5,-0.09557945370657552,0.09557945370657552
cpu_temp_mean_roll_mean_5,0.09480944679225684,0.09480944679225684
load_fifteen_lag_5,-0.09399999609398824,0.09399999609398824
load_one_roll_mean_5,0.09223416431342184,0.09223416431342184
ambient_lag_10,-0.09200424304395621,0.09200424304395621
cpu_temp_mean_delta_5,0.08975543752171149,0.08975543752171149
cpu_socket_power,0.08847823008871386,0.08847823008871386
node_38,0.08685244209693291,0.08685244209693291
load_five_lag_10,-0.08454748735999983,0.08454748735999983
cpu_socket_power_lag_5,0.08393109209483159,0.08393109209483159
cpu_busy_roll_mean_10,0.08094525733964246,0.08094525733964246
ambient_lag_5,-0.07921278220028531,0.07921278220028531
node_198,-0.07882668999261655,0.07882668999261655
load_fifteen_lag_2,0.07791446544224474,0.07791446544224474
cpu_socket_power_roll_std_3,0.07655473047847455,0.07655473047847455
cpu_socket_power_lag_1,0.07607305714804793,0.07607305714804793
load_fifteen_lag_10,0.07400472099021559,0.07400472099021559
p1_power_lag_2,0.07095007001975437,0.07095007001975437
load_one_roll_mean_10,0.0706292377329459,0.0706292377329459
total_power_roll_std_10,0.06887596145145432,0.06887596145145432
total_power_lag_1,0.06587725969547047,0.06587725969547047
cpu_socket_power_roll_mean_3,0.06385790895460969,0.06385790895460969
cpu_busy_delta_5,0.06159818221699386,0.06159818221699386
load_one,0.06129440769907011,0.06129440769907011
node_123,-0.059312567496778754,0.059312567496778754
p0_power_lag_5,-0.054463882916528365,0.054463882916528365
load_one_roll_std_10,0.05221914425456849,0.05221914425456849
cpu_system,-0.049063676978957686,0.049063676978957686
cpu_temp_max_roll_std_3,0.04753274953320887,0.04753274953320887
cpu_idle_lag_5,0.04716948110011731,0.04716948110011731
node_578,0.04685643712778396,0.04685643712778396
cpu_socket_power_lag_10,-0.04623495085021488,0.04623495085021488
cpu_busy_lag_2,0.046069988855109836,0.046069988855109836
total_power,0.045703742909569973,0.045703742909569973
cpu_busy_lag_5,-0.04546985727183457,0.04546985727183457
ambient_lag_1,0.0450861348090031,0.0450861348090031
cpu_idle_lag_2,-0.04354492878690174,0.04354492878690174
total_power_lag_5,0.04353836235936658,0.04353836235936658
load_one_roll_std_5,0.03829913344099623,0.03829913344099623
total_power_delta_1,-0.03776339414726892,0.03776339414726892
load_one_lag_5,0.03297129102955853,0.03297129102955853
p0_power_lag_2,-0.03230593939355264,0.03230593939355264
p0_power_lag_1,0.03141843005591082,0.03141843005591082
total_power_roll_mean_3,0.029483949305471116,0.029483949305471116
cpu_socket_power_delta_1,0.028448733027144454,0.028448733027144454
total_power_lag_2,-0.027482639220589227,0.027482639220589227
minute_sin,-0.02434727294127529,0.02434727294127529
load_one_roll_std_3,0.022629740576187676,0.022629740576187676
cpu_busy_roll_std_5,0.022433003240209297,0.022433003240209297
total_power_roll_std_3,0.02208787155309522,0.02208787155309522
ambient_lag_2,-0.02117517564838041,0.02117517564838041
cpu_socket_power_lag_2,0.02083700049536411,0.02083700049536411
cpu_temp_mean_roll_mean_10,0.020468962670812323,0.020468962670812323
cpu_temp_max_delta_1,-0.018498718268352598,0.018498718268352598
node_419,0.014402590700875463,0.014402590700875463
cpu_temp_mean_delta_1,0.014241829729330488,0.014241829729330488
cpu_busy_lag_1,-0.012467577115988072,0.012467577115988072
cpu_idle_lag_1,0.011933657794904632,0.011933657794904632
p0_power,0.01161799873470821,0.01161799873470821
p1_power_lag_10,0.011328795059579693,0.011328795059579693
load_one_delta_5,0.010768956680892765,0.010768956680892765
cpu_socket_power_delta_5,0.010283126023240406,0.010283126023240406
load_five_lag_2,0.009463197943816719,0.009463197943816719
total_power_roll_std_5,-0.009118514215620988,0.009118514215620988
cpu_socket_power_roll_std_5,0.009075312342539117,0.009075312342539117
cpu_temp_mean_roll_std_5,0.008560598264821065,0.008560598264821065
cpu_user,0.008511167425598922,0.008511167425598922
cpu_idle,-0.006449195551853726,0.006449195551853726
cpu_temp_mean_roll_std_3,-0.005850022267674295,0.005850022267674295
cpu_busy,0.005250801240728062,0.005250801240728062
total_power_delta_5,0.0039356689007048855,0.0039356689007048855
cpu_busy_lag_10,0.0019236572261919387,0.0019236572261919387
load_one_lag_10,0.0005675188510322963,0.0005675188510322963
cpu_idle_lag_10,0.00031241283391954933,0.00031241283391954933
load_one_delta_1,-0.00028034530074575435,0.00028034530074575435
cpu_wio,0.0,0.0
cpu_speed,0.0,0.0
